target,category,value
example.com,subdomain,a3.semenychev.example.com
example.com,subdomain,vermaashwin3176.example.com
example.com,subdomain,adirnogueira2107.example.com
example.com,subdomain,avs43.example.com
example.com,subdomain,erinbaxtere11.example.com
example.com,subdomain,ofelbaum.example.com
example.com,subdomain,vm50099.example.com
example.com,subdomain,182075.example.com
example.com,subdomain,folken1.example.com
example.com,subdomain,provisov1.net.example.com
example.com,subdomain,piacompanyus2.example.com
example.com,subdomain,cpanel.fulldirection.example.com
example.com,subdomain,nremizov30.example.com
example.com,subdomain,azen2048118.example.com
example.com,subdomain,b605981.example.com
example.com,subdomain,dmi2831.example.com
example.com,subdomain,kita1.example.com
example.com,subdomain,m7.example.com
example.com,subdomain,ozeliurs2.example.com
example.com,subdomain,do-not-delete-ip-for-node.example.com
example.com,subdomain,grizmar54.example.com
example.com,subdomain,petrivnyicrypto.example.com
example.com,subdomain,voicestore.example.com
example.com,subdomain,147-255-227-197.w.example.com
example.com,subdomain,28662.example.com
example.com,subdomain,cpanel.bogdan.example.com
example.com,subdomain,didiliu09.example.com
example.com,subdomain,dza1790.example.com
example.com,subdomain,edu.example.com
example.com,subdomain,ex1771.example.com
example.com,subdomain,itimov20194.example.com
example.com,subdomain,b5f0.example.com
example.com,subdomain,ivanovmaksim4.example.com
example.com,subdomain,v6.yu.korneev.example.com
example.com,subdomain,mo35795120233.example.com
example.com,subdomain,pinglongbo.example.com
example.com,subdomain,thehottech75.example.com
example.com,subdomain,adlucoo.example.com
example.com,subdomain,stritor2009.example.com
example.com,subdomain,sub247.example.com
example.com,subdomain,yankov.example.com
example.com,subdomain,buh1.example.com
example.com,subdomain,k8s-game2048-ingress2-6663e0e99c-1139648975.example.com
example.com,subdomain,metadata.example.com
example.com,subdomain,miha.example.com
example.com,subdomain,mihailschwarz3.example.com
example.com,subdomain,shiekhmoh275.example.com
example.com,subdomain,147-255-227-10.w.example.com
example.com,subdomain,192575.example.com
example.com,subdomain,mr.kovalsy.serg.example.com
example.com,subdomain,147-255-227-220.w.example.com
example.com,subdomain,xboard.example.com
example.com,subdomain,a9616682.example.com
example.com,subdomain,baton85.example.com
example.com,subdomain,shrey.example.com
example.com,subdomain,184946.example.com
example.com,subdomain,cdwk20151.example.com
example.com,subdomain,hijacked-ip-address-192-83-197-121.example.com
example.com,subdomain,latvr.example.com
example.com,subdomain,niksis23.example.com
example.com,subdomain,666809.example.com
example.com,subdomain,alfreddd.example.com
example.com,subdomain,babar77.example.com
example.com,subdomain,artzy.kid92.example.com
example.com,subdomain,pritorius666.example.com
example.com,subdomain,thehottech970.example.com
example.com,subdomain,ibm-filenet.aws.example.com
example.com,subdomain,176958.example.com
example.com,subdomain,a597032282.example.com
example.com,subdomain,mcbobek.example.com
example.com,subdomain,sukhov.nikita.example.com
example.com,subdomain,vl.parshin.example.com
example.com,subdomain,skyice.example.com
example.com,subdomain,thehottech916.example.com
example.com,subdomain,azen204879.example.com
example.com,subdomain,radomirb3.example.com
example.com,subdomain,s001.example.com
example.com,subdomain,suns3t404.example.com
example.com,subdomain,ts28.example.com
example.com,subdomain,app1.example.com
example.com,subdomain,188086.example.com
example.com,subdomain,a9448292504.example.com
example.com,subdomain,bmw88888912.example.com
